"DATA_CENTER_URL"	"SHORT_DCNAME"	"LONG_DCNAME"
"http://www.geo.uu.se"	"UU-ES"	"Uppsala University, Department of Earth Sciences"
"http://www.uu.se"	"UU"	"Uppsala University"
"http://www.zin.ru/index_e.htm"	"RAS ZIN"	"Russian Academy of Sciences, Zoological Institute and  Komarov Botanical Institute"
"http://www.ras.ru/"	"RAS"	"Russian Academy of Sciences"
"http://english.us.edu.pl/"	"US"	"University of Silesia"
"http://www.gu.se/english/"	"GU"	"University of Gothenburg"
"http://www.uu.nl"	"UU"	"Utrecht University"
"www.ntnu.no"	"NTNU"	"Norwegian University of Science and Technology"
"www.sintef.no"	"SINTEF"	"SINTEF"
"www.eiscat.se"	"EISCAT"	"EISCAT Scientific Association - Tromsø"
"www.eiscat.se"	"ESR"	"EISCAT Svalbard Radar - Longyearbyen"
"http://www3.imperial.ac.uk/"	"IMPERIAL"	"Imperial College London"
"http://www.ljmu.ac.uk/"	"LJMU"	"Liverpool John Moores University"
"http://www.nipr.ac.jp/english/index.html"	"NIPR"	"National Institute of Polar Research, Tokyo"
"www.hydro.com"	"HYDRO"	"Hydro (Norsk Hydro)"
"http://www.veths.no"	"VETHS"	"Norwegian School of Veterinary Science (Norges Veterinærhøgskole)"
"http://www.physics.uio.no/"	"UiO"	"University of Oslo, Department of Physics"
"www.uit.no"	"UiT"	"University of Tromsø, Norway"
"http://uit.no/biologi/"	"UiT"	"University of Tromsø, Department of Biology"
"www.uit.no"	"UiT"	"University of Tromsø, Department of Physics (The Auroral Observatory)"
"www.veths.no"	"VETHS"	"Norwegian School of Veterinary Science (Norges Veterinærhogskole), Department of Arctic Veterinary Medicine"
"www.rug.nl"	"RUG"	"University of Groningen"
"http://www.rug.nl/biologie/index"	"RUG"	"University of Groningen, Department of Biology"
"http://www.upmc.fr"	"UPMC"	"Pierre and Marie Curie University"
"http://www.pan.pl/english/"	"PAS"	"Polish Academy of Sciences"
"http://www.bham.ac.uk/"	"BHAM"	"University of Birmingham"
"http://www.bham.ac.uk/"	"BHAM"	"University of Birmingham, Institute of Terrestrial Ecology"
"http://www.umea.irf.se/"	"UMU"	"Umeå University, Institute of Space Physics"
"http://www.aber.ac.uk/maps/en/"	"ABER"	"Aberystwyth University, Inst. of Mathematics and Physics"
"http://www.uni-muenster.de/GeoPalaeontologie/"	"WWU-Münster"	"Westfälische Wilhelms University Münster, Institute for Geology and Palaeontology"
"http://www.uni-muenster.de/en/"	"Uni Muenster"	"University of Münster"
"http://www.akita-u.ac.jp/english/"	"Akita"	"Akita University"
"http://www.speleo.cz/"	"SPELEO"	"Czech Speleological Society"
"http://www.dmi.dk/dmi/index/"	"DMI"	"Danish Meteorological Institute"
"www.su.se"	"SU"	"Stockholm University"
"http://www.ava.fmi.fi/"	"FMI GEO"	"Finnish Meteorological Institute, Geophysical Research Division"
"met.no"	"DNMI"	"Norwegian Meteorological Institute"
"http://www.aari.nw.ru"	"AARI"	"Arctic and Antarctic Research Institute, St. Petersburg, Russia"
"http://www.ethz.ch/"	"ETH"	"Swiss Federal Institute of Technology Zürich (ETH)"
"http://www.arcticcentre.org/"	"ULAPLAND"	"University of Lapland, Arctic Center"
"http://www.sgo.fi/"	"SGO"	"Sodankyla Geophysical Observatory"
"www.aka.fi"	"AKA"	"Academy of Finland (Soumen Akatemia)"
"http://www.cnrs.fr/"	"CNRS"	"Centre National de la Recherche Scientifique"
"http://www.cnrs.fr/index.html"	"CNRS - CEBC"	"Centre National de la Recherche Scientifique, Centre D'Etude Biologiques de Chizé"
"http://www.cnrs.fr/"	"CNRS - CEPE"	"Centre National de la Recherche Scientifique, Centre d'Ecologie et Physiologie Energetiques"
"http://www.fz-juelich.de/portal/"	"FZ Juelich"	"Jülich Forschungszentrum GmbH"
"http://www.nr.no/"	"NR"	"Norsk Regnesentral / Norwegian Computing Center"
"http://www.sgp.geodezja.org.pl/"	"SGP"	"Association of Polish Surveyors (Stowarzyszenie Geodetow Polskich)"
"http://www.ugal.ro/"	"UGAL"	"Dunarea de Jos University Galati, Institute of Biology"
"http://www.univ-bpclermont.fr/LABOS/geolab/"	"GEOLAB"	"Universite Blaise Pascal, GEOLAB, Clermont-Ferrand, France"
	"ARRINP"	"All-Russian Research Institute for Nature Protection, Moscow, Russia"
"http://earthquake.usgs.gov/regional/asl/index.php"	"ASL"	"Albuquerque Seismological Laboratory"
"http://www.uni-jena.de"	"Uni Jena"	"Friedrich-Schiller University in Jena"
"http://www.nagoya-u.ac.jp"	"Nagoya"	"Nagoya University"
"http://www.nerc.ac.uk/"	"NERC"	"Natural Environment Research Council"
"http://www.ku.dk/english/"	"KU"	"University of Copenhagen"
"http://www.ceh.ac.uk/"	"CEH"	"Centre for Ecology and Hydrology, Bangor"
"www.npolar.no"	"NPI"	"Norwegian Polar Institute (Norsk Polarinstitutt)"
"www.unis.no"	"UNIS"	"University Centre in Svalbard, Norway"
"www.sams.ac.uk"	"SAMS"	"Scottish Association for Marine Science"
	"PMGRE"	"Polar Marine Geological Research Expedition"
	"IIG"	"Indian Institute of Geomagnetism"
"http://www.pw.edu.pl/english/"	"PW"	"Warsaw University of Technology (Politechnika Warszawska)"
"http://www.rug.nl/let/onderzoek/onderzoekcentra/arctischcentrum/index?lang=en"	"RUG AC"	"University of Groningen, Arctic Centre"
"www.wnoz.us.edu.pl"	"US"	"University of Silesia, Faculty of Earth Sciences"
"http://www.npd.no/Norsk/Frontpage.htm"	"NPD"	"Norwegian Petroleum Directorate (Oljedirektoratet)"
"http://nilu.no"	"NILU"	"Norwegian Institute for Air Research"
	"UMCS"	"Maria Curie-Sklodowska University"
	"UiB GFI"	"University of Bergen, Geophysical Institute"
"www.nina.no"	"NINA-Tromsø"	"Norwegian Institute for Nature Research, Tromsø"
	"NCU"	"Nicolaus Copernicus University"
"http://www.abdn.ac.uk/"	"UoA"	"University of Aberdeen, United Kingdom"
"http://www.igf.edu.pl/en/"	"IGF PAS"	"Polish Academy of Sciences, Institute of Geophysics"
"www.ntnu.no/geografi"	"NTNU-IGE"	"Norwegian University of Science and Technology, Department of Geography"
"http://www.geo.uio.no/"	"UiO"	"University of Oslo, Department of Geosciences"
	"IPO /IPOE"	"Institute for Polar Ecology (Institut für Polarökologie)"
	"BGR"	"Federal Institute for Geoscience and Natural Resources (Bundesanstalt für Geologie und Rohstoffe), Germany"
"http://www.iup.uni-bremen.de/deu/"	"Uni Bremen, IUP"	"University of Bremen, Institute of Environmental Physics (Institut für Umweltphysik)"
"http://pgia.ru/"	"PGI RAS"	"Russian Academy of Sciences, Polar Geophysical Institute"
"http://www.gi.alaska.edu/"	"UAF GI"	"University of Alaska Fairbanks, Geophysical Institute"
	"ENS"	"Ecole Normale Supérieure"
"http://www.dmu.dk/"	"AU-NERI"	"Aarhus University, National Environmental Research Institute"
"http://www.iopan.gda.pl/"	"IOPAS"	"Polish Academy of Sciences, Institute of Oceanology"
	"TMU"	"Tromsø University Museum"
"http://www.gla.ac.uk/departments/civilengineering/"	"GLA"	"University of Glasgow, Department of Civil Engineering"
"http://naturalsciences.ucmerced.edu/"	"UC MERCED"	"University of California, School of Natural Sciences"
"www.wwt.org.uk"	"WWT"	"Wildfowl and Wetlands Trust"
	"KB"	"Kings Bay AS"
